energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.419999999999999929e-01,7.328471960193079227e-01,3.427443204777389749e-05,2.688998252280512129e-07,5.478423247335647052e-07,1.499100188234814702e-07,7.328119549350913253e-01
2.429999999999999938e-01,7.893617067152564060e-01,3.664426163951925772e-05,2.123210855026800701e-07,5.601029854900759732e-07,1.877249827897611626e-06,7.893224127797180412e-01
2.439999999999999947e-01,8.484626224361851987e-01,3.946775441438841558e-05,1.931560266156673016e-07,5.502717011772202496e-07,2.202897402886883953e-06,8.484202083566401154e-01
2.449999999999999956e-01,9.101373648708929176e-01,4.255973039795294527e-05,1.695853920986916058e-07,5.680162366872665768e-07,2.566399916801545602e-07,9.100938108988745334e-01
2.459999999999999964e-01,9.743994733383168905e-01,4.528537742609823908e-05,1.364640008466866930e-07,5.872934613368349018e-07,1.654434389760430722e-06,9.743518097690389013e-01
2.469999999999999973e-01,1.041222286185383483e+00,4.836403432913000610e-05,1.108016864149324971e-07,5.778761796280655005e-07,2.775987286148354028e-06,1.041170457485902201e+00
2.479999999999999982e-01,1.110559088585932885e+00,5.189795656675531827e-05,8.675925613407449445e-08,5.768281448011192632e-07,5.717668197353518574e-07,1.110505955275145507e+00
2.489999999999999991e-01,1.182397984234507815e+00,5.502003749900928755e-05,6.798471446691630221e-08,5.909812959842638796e-07,1.352753347450325336e-06,1.182340952477650919e+00
2.500000000000000000e-01,1.256694992622418683e+00,5.831879199315713881e-05,5.326292380879755956e-08,5.926519181816173360e-07,3.258639642592415307e-06,1.256632769275940920e+00
2.510000000000000009e-01,1.333368694336122484e+00,6.224650950723491878e-05,3.782080610897427211e-08,5.922867271036874776e-07,1.105831300019962979e-06,1.333304711887782101e+00
2.520000000000000018e-01,1.412376011139581777e+00,6.579835585712444390e-05,2.765302989083340031e-08,5.973843030732885843e-07,1.033821185254808514e-06,1.412308553925206489e+00
2.530000000000000027e-01,1.493656536348318520e+00,6.929017871983517770e-05,1.958145105897026499e-08,5.895326879701740860e-07,3.583567433437745998e-06,1.493583053488026113e+00
2.540000000000000036e-01,1.577096396681079593e+00,7.353041194330479436e-05,1.105454803484108256e-08,5.840749452084938840e-07,1.856731199738926488e-06,1.577020414408443205e+00
2.550000000000000044e-01,1.662616408519845823e+00,7.752600244917217482e-05,8.571039690392699727e-09,5.984859289097229740e-07,7.831440071096687838e-07,1.662537492316420895e+00
