energy_au,total_recorded_SI,n1_l0_m+0,n2_l0_m+0,n2_l1_m-1,n2_l1_m+0,n2_l1_m+1
2.680000000000000160e-01,7.253896010623581692e-01,7.253517271496394692e-01,1.410784532635758697e-05,6.734209200130979415e-06,1.029764899279521416e-05,6.734209199376940521e-06
2.690000000000000169e-01,8.681907290885290118e-01,8.681531679320548811e-01,1.498411673625823575e-05,6.433574326771906154e-06,9.709891085094873349e-06,6.433574326047787005e-06
2.700000000000000178e-01,1.028824360109302560e+00,1.028787168709518696e+00,1.586071723516336511e-05,6.132633155932326247e-06,9.065416237455027778e-06,6.132633155256133069e-06
2.710000000000000187e-01,1.207956513145222122e+00,1.207919739341963172e+00,1.673480977106806358e-05,5.832211983294740987e-06,8.374569521779953989e-06,5.832211982683617727e-06
2.720000000000000195e-01,1.406068606384677011e+00,1.406032283857183485e+00,1.760363973190381097e-05,5.533112599604873934e-06,7.652662562952070908e-06,5.533112599074539830e-06
2.730000000000000204e-01,1.623432762874227553e+00,1.623396907162860670e+00,1.846452878379507584e-05,5.236110587485329668e-06,6.918961408577733999e-06,5.236110587049562557e-06
2.740000000000000213e-01,1.860089255116652129e+00,1.860053861092318517e+00,1.931486845357542945e-05,4.941954580953771231e-06,6.195246718418520518e-06,4.941954580623987423e-06
2.750000000000000222e-01,2.115826711016448591e+00,2.115791752097145650e+00,2.015211522347407205e-05,4.651366318677559499e-06,5.504071442124304535e-06,4.651366318462423295e-06
2.760000000000000231e-01,2.390165675246539667e+00,2.390131104498868453e+00,2.097378858216085846e-05,4.365041236633494042e-06,4.866876616145855502e-06,4.365041236538699196e-06
2.770000000000000240e-01,2.682346075730554169e+00,2.682311828813271681e+00,2.177747295711274212e-05,4.083649299312151507e-06,4.302145727199091949e-06,4.083649299340269613e-06
2.780000000000000249e-01,2.991319084951581608e+00,2.991285084676593264e+00,2.256082381967476440e-05,3.807835765587888960e-06,3.823779637148853612e-06,3.807835765738293636e-06
2.790000000000000258e-01,3.315743791047096600e+00,3.315709953169611701e+00,2.332157760086478389e-05,3.538221624137985845e-06,3.439856635410590131e-06,3.538221624406959040e-06
2.800000000000000266e-01,3.653989005383736277e+00,3.653955245105123151e+00,2.405756447682886934e-05,3.275403506280684087e-06,3.151907123342779786e-06,3.275403506661606239e-06
2.810000000000000275e-01,4.004140433199093962e+00,4.004106671787435623e+00,2.476672265774528301e-05,3.019952979312119882e-06,2.954783041651394448e-06,3.019952979795699462e-06
2.820000000000000284e-01,4.364013324001311922e+00,4.363979494914891788e+00,2.544711259759930007e-05,2.772415226350650345e-06,2.837143369144482219e-06,2.772415226925321542e-06
2.830000000000000293e-01,4.731170601147381305e+00,4.731136655088468146e+00,2.609692955758183999e-05,2.533307214575381510e-06,2.782514924751905609e-06,2.533307215227707417e-06
2.840000000000000302e-01,5.102946348086638828e+00,5.102912256513532085e+00,2.671451319181387572e-05,2.303115529601855793e-06,2.770828855225708835e-06,2.303115530316996393e-06
2.849999999999999756e-01,5.476474405119293287e+00,5.476440161893934899e+00,2.729835323881406241e-05,2.082294100220760228e-06,2.780283918396551799e-06,2.082294100982962402e-06
